design_id,niche,style,title,tags_etsy,price_etsy
iheart_v3_fishing_vintage_engraving,fishing,vintage_engraving,I Love Fishing Print — Vintage Engraving Gift for Anglers Fishermen,"i love fishing, fishing gift, anglers fishermen, scene in heart, wall art print, tshirt design, vintage engraving, digital download, fishing lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_fishing_watercolor_modern,fishing,watercolor_modern,I Love Fishing Print — Watercolor Modern Gift for Anglers Fishermen,"i love fishing, fishing gift, anglers fishermen, scene in heart, wall art print, tshirt design, watercolor modern, digital download, fishing lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_reading_vintage_engraving,reading,vintage_engraving,I Love Reading Print — Vintage Engraving Gift for Booktok Readers,"i love reading, reading gift, booktok readers, scene in heart, wall art print, tshirt design, vintage engraving, digital download, reading lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_reading_watercolor_modern,reading,watercolor_modern,I Love Reading Print — Watercolor Modern Gift for Booktok Readers,"i love reading, reading gift, booktok readers, scene in heart, wall art print, tshirt design, watercolor modern, digital download, reading lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_my_cat_vintage_engraving,my_cat,vintage_engraving,I Love My Cat Print — Vintage Engraving Gift for Cat Parents,"i love my cat, my cat gift, cat parents, scene in heart, wall art print, tshirt design, vintage engraving, digital download, my cat lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_my_cat_watercolor_modern,my_cat,watercolor_modern,I Love My Cat Print — Watercolor Modern Gift for Cat Parents,"i love my cat, my cat gift, cat parents, scene in heart, wall art print, tshirt design, watercolor modern, digital download, my cat lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_my_dog_vintage_engraving,my_dog,vintage_engraving,I Love My Dog Print — Vintage Engraving Gift for Dog Parents,"i love my dog, my dog gift, dog parents, scene in heart, wall art print, tshirt design, vintage engraving, digital download, my dog lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_my_dog_watercolor_modern,my_dog,watercolor_modern,I Love My Dog Print — Watercolor Modern Gift for Dog Parents,"i love my dog, my dog gift, dog parents, scene in heart, wall art print, tshirt design, watercolor modern, digital download, my dog lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_hiking_vintage_engraving,hiking,vintage_engraving,I Love Hiking Print — Vintage Engraving Gift for Hikers Backpackers,"i love hiking, hiking gift, hikers backpackers, scene in heart, wall art print, tshirt design, vintage engraving, digital download, hiking lover, unique gift, modern art, redbubble pod, instant download",4.5
iheart_v3_hiking_watercolor_modern,hiking,watercolor_modern,I Love Hiking Print — Watercolor Modern Gift for Hikers Backpackers,"i love hiking, hiking gift, hikers backpackers, scene in heart, wall art print, tshirt design, watercolor modern, digital download, hiking lover, unique gift, modern art, redbubble pod, instant download",4.5
